method,total_cnot_budget,shots_per_evaluation,mean_reported_best_score,mean_selected_true_score,mean_regret,task_rmse,schedule_cx_cost
split,19952.62314968879,60,0.4814679769668074,0.4221674137910852,0.03900411823370009,0.05903411088753148,328.0
split,31622.776601683792,96,0.4510848343630653,0.43399696321526376,0.027174568809521526,0.03749410283153027,328.0
split,50118.72336272725,152,0.4270018586854842,0.43240881785180774,0.028762714172977627,0.03756377786579503,328.0
split,79432.82347242821,242,0.4061910891291094,0.4371124231842359,0.024059108840549442,0.035220437233431434,328.0
split,125892.54117941661,383,0.3968869819565442,0.4440844715824706,0.01708706044231471,0.022928898441725458,328.0
split,199526.2314968879,608,0.3807469309425806,0.44399197051337785,0.017179561511407582,0.022713379728899478,328.0
split,316227.7660168379,964,0.3767567574483411,0.44699839365103294,0.014173138373752373,0.01908005610024973,328.0
dilation,19952.62314968879,48,0.46624261264418926,0.4207079422097703,0.04046358981501504,0.05404732505893557,410.0
dilation,31622.776601683792,77,0.4331235674851303,0.42320629598137777,0.0379652360434075,0.04847634088146722,410.0
dilation,50118.72336272725,122,0.4148103914520769,0.43088827326147694,0.03028325876330838,0.03932272479347763,410.0
dilation,79432.82347242821,193,0.3875000699799271,0.4371246882340789,0.024046843790706467,0.03250825301146665,410.0
dilation,125892.54117941661,307,0.37751371821208174,0.4387230060621272,0.0224485259626581,0.0299684800476422,410.0
dilation,199526.2314968879,486,0.3649085688094475,0.442212502238363,0.01895902978642235,0.025969295332935433,410.0
dilation,316227.7660168379,771,0.35709200381003203,0.4458121761184339,0.015359355906351492,0.020269682534099772,410.0
genexp,19952.62314968879,9,0.5783203504046344,0.2921250117319031,0.16904652029288225,0.25088952313241997,2214.0
genexp,31622.776601683792,14,0.5089002334160616,0.30583389350162554,0.15533763852315977,0.23911639402786747,2214.0
genexp,50118.72336272725,22,0.3937503064198988,0.3186203667259633,0.14255116529882203,0.21931208387068854,2214.0
genexp,79432.82347242821,35,0.33008359431556,0.33250688071834067,0.12866465130644464,0.20138491052663707,2214.0
genexp,125892.54117941661,56,0.272716533218986,0.35408848455460223,0.10708304747018309,0.16065127917284977,2214.0
genexp,199526.2314968879,90,0.23642931978960777,0.3827025037640539,0.07846902826073142,0.12917349756564733,2214.0
genexp,316227.7660168379,142,0.20630658462493048,0.4029624816289347,0.05820905039585064,0.08218367603568318,2214.0
